;TimeWithNumpy;TimeWithPyTorch
500;26.369266510009766;11.539363622665405
750;39.663455963134766;17.252761602401733
1000;53.29067015647888;23.415024995803833
1250;66.70172166824341;29.962502479553223
1500;66.23737263679504;33.98194670677185
1750;78.37806630134583;40.30279326438904
2000;89.831298828125;44.935224294662476
2250;105.52098941802979;51.162989139556885
2500;119.56912207603455;59.074294567108154
2750;132.5429151058197;64.15979218482971
3000;146.74982118606567;70.00846266746521
3250;162.2408390045166;79.84119701385498
3500;168.98510718345642;86.04142808914185
3750;176.09356474876404;93.51996541023254
4000;183.77819347381592;98.7228741645813
4250;190.96978282928467;106.29471397399902
4500;198.50458574295044;115.55775022506714
4750;207.19107699394226;122.43349099159241
5000;215.62747740745544;132.58363795280457
5250;224.52320861816406;136.7708616256714
5500;232.80938935279846;145.40980529785156
5750;240.7085108757019;154.27175569534302
6000;249.48121905326843;159.0305995941162
6250;259.2076644897461;169.09701251983643
6500;268.55544090270996;175.65321350097656
6750;277.7953782081604;183.34846568107605
7000;286.754145860672;194.05795669555664
7250;298.19807529449463;200.48997378349304
7500;308.2754580974579;209.63196063041687
7750;319.64146661758423;218.73048639297485
8000;329.53929686546326;228.2193248271942
8250;339.78949332237244;244.5810444355011
8500;352.56967639923096;252.21318197250366
8750;364.5394377708435;262.849383354187
9000;376.84046721458435;270.2217676639557
9250;388.8778841495514;276.76614713668823
9500;398.3658893108368;285.7320623397827
9750;411.3693673610687;296.46060395240784
10000;424.04142808914185;306.8119168281555
